deck_id,card_index,card_name,quantity,cost,type,ink,inkable
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,0,Basil - Practiced Detective,4,1,character,Sapphire,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,1,Rafiki - Mystical Fighter,2,1,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,2,Royal Guard - Octopus Soldier,3,1,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,3,Tipo - Growing Son,4,2,character,Sapphire,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,4,Cheshire Cat - Inexplicable,4,3,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,5,Dumbo - Ninth Wonder of the Universe,4,4,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,6,Genie - Wish Fulfilled,4,4,character,Amethyst,False
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,7,Iago - Giant Spectral Parrot,3,4,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,8,Tigger - Bouncing All the Way,1,4,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,9,Elsa - The Fifth Spirit,4,5,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,10,Hades - Looking for a Deal,4,5,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,11,Demona - Scourge of the Wyvern Clan,4,6,character,Amethyst,True
c25bc1390427d5372b58fcddf06c8f97dc0c774486e31b3bcb35582b1ba30925,12,Hades - Infernal Schemer,4,7,character,Sapphire,False
