id,name,format,date,player_count,url,decklists_scraped
a5602585-d7af-4163-b505-4b189cb11bf0,Core Constructed Side Event @ DLC Melbourne,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/core-constructed-side-event-dlc-melbourne-tournament-decks-363207,2
9eadb6bd-4e91-4030-9bfe-9cb14adcb015,Axion Sunday Core Cup,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/axion-sunday-core-cup-tournament-decks-363222,33
cd3381eb-d8ef-4103-9dcf-53fcf5dbd44a,Core,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/core,0
acfbc7f9-50e0-4bf0-bc8a-e2ee55a4d3a3,Axion Sunday Core Cup,core,2026-02-23,null,https://inkdecks.com/lorcana-tournaments/axion-sunday-core-cup-tournament-decks-363208,4
363187,desafio guayacan whispers in the well,core,2026-02-15,null,https://inkdecks.com/lorcana-tournaments/desafio-guayacan-whispers-in-the-well-tournament-decks-363187,22
363176,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363176,4
363138,lorefest winter battle,core,null,null,https://inkdecks.com/lorcana-tournaments/lorefest-winter-battle-tournament-decks-363138,29
363115,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363115,7
363114,top dog gaming whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/top-dog-gaming-whispers-in-the-well-set-championship-tournament-decks-363114,1
363131,whispers set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-set-champs-tournament-decks-363131,8
363142,set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/set-championship-tournament-decks-363142,5
363101,whispers in the well set championship zombie,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-zombie-tournament-decks-363101,21
363186,deck dice tournament 2 0,core,null,null,https://inkdecks.com/lorcana-tournaments/deck-dice-tournament-2-0-tournament-decks-363186,3
363105,freakmondo store hampionship,core,null,null,https://inkdecks.com/lorcana-tournaments/freakmondo-store-hampionship-tournament-decks-363105,5
363128,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363128,1
363119,drummond set championship split a case,core,null,null,https://inkdecks.com/lorcana-tournaments/drummond-set-championship-split-a-case-tournament-decks-363119,3
363144,r de jeux championnat de set lueurs dans les profondeurs,core,null,null,https://inkdecks.com/lorcana-tournaments/r-de-jeux-championnat-de-set-lueurs-dans-les-profondeurs-tournament-decks-363144,9
363135,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363135,2
363051,road to lorcana 12 saison 10,core,null,null,https://inkdecks.com/lorcana-tournaments/road-to-lorcana-12-saison-10-tournament-decks-363051,15
363125,whispers in the well set championship versus gamecenter alges,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-versus-gamecenter-alges-tournament-decks-363125,7
363175,iconic 1k whispers in the well,core,null,null,https://inkdecks.com/lorcana-tournaments/iconic-1k-whispers-in-the-well-tournament-decks-363175,33
363130,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363130,8
363120,coulee cards gaming whispers set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/coulee-cards-gaming-whispers-set-champs-tournament-decks-363120,5
363121,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363121,11
363134,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363134,3
363124,hobby stadium whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/hobby-stadium-whispers-in-the-well-set-championship-tournament-decks-363124,7
363181,set 11 proxy tournament,core,null,null,https://inkdecks.com/lorcana-tournaments/set-11-proxy-tournament-tournament-decks-363181,3
363145,cardboardia whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/cardboardia-whispers-in-the-well-set-champs-tournament-decks-363145,9
363183,ccq occitan ink tome ii montpellier day 1 standings,core,null,null,https://inkdecks.com/lorcana-tournaments/ccq-occitan-ink-tome-ii-montpellier-day-1-standings-tournament-decks-363183,62
363146,train ink win a box montpellier,core,null,null,https://inkdecks.com/lorcana-tournaments/train-ink-win-a-box-montpellier-tournament-decks-363146,6
