table_schema,table_name,constraint_name,constraint_type,constraint_def
public,cards,cards_pkey,p,PRIMARY KEY (id)
public,deck_cards,deck_cards_card_id_fkey,f,FOREIGN KEY (card_id) REFERENCES cards(id)
public,deck_cards,deck_cards_deck_id_fkey,f,FOREIGN KEY (deck_id) REFERENCES decks(id) ON DELETE CASCADE
public,deck_cards,deck_cards_pkey,p,PRIMARY KEY (id)
public,decks,decks_fingerprint_key,u,UNIQUE (fingerprint)
public,decks,decks_pkey,p,PRIMARY KEY (id)
public,decks,decks_source_url_unique,u,UNIQUE (url)
public,decks,decks_tournament_id_fkey,f,FOREIGN KEY (tournament_id) REFERENCES tournaments(id) ON DELETE CASCADE
public,decks,decks_url_unique,u,UNIQUE (url)
public,tournaments,tournaments_pkey,p,PRIMARY KEY (id)
public,tournaments,tournaments_url_unique,u,UNIQUE (url)
