table_schema,table_name,indexname,indexdef
public,cards,cards_pkey,CREATE UNIQUE INDEX cards_pkey ON public.cards USING btree (id)
public,cards,idx_cards_cost,CREATE INDEX idx_cards_cost ON public.cards USING btree (cost)
public,cards,idx_cards_ink,CREATE INDEX idx_cards_ink ON public.cards USING btree (ink)
public,cards,idx_cards_name,CREATE INDEX idx_cards_name ON public.cards USING btree (name)
public,cards,idx_cards_search,"CREATE INDEX idx_cards_search ON public.cards USING gin (to_tsvector('english'::regconfig, ((name || ' '::text) || COALESCE(full_name, ''::text))))"
public,cards,idx_cards_set_code,CREATE INDEX idx_cards_set_code ON public.cards USING btree (set_code)
public,cards,idx_cards_type,CREATE INDEX idx_cards_type ON public.cards USING btree (type)
public,deck_cards,deck_cards_pkey,CREATE UNIQUE INDEX deck_cards_pkey ON public.deck_cards USING btree (id)
public,deck_cards,deck_cards_unique,"CREATE UNIQUE INDEX deck_cards_unique ON public.deck_cards USING btree (deck_id, card_name)"
public,deck_cards,idx_deck_cards_card_id,CREATE INDEX idx_deck_cards_card_id ON public.deck_cards USING btree (card_id)
public,deck_cards,idx_deck_cards_deck_id,CREATE INDEX idx_deck_cards_deck_id ON public.deck_cards USING btree (deck_id)
public,deck_cards,idx_deck_cards_name,CREATE INDEX idx_deck_cards_name ON public.deck_cards USING btree (card_name)
public,decks,decks_fingerprint_key,CREATE UNIQUE INDEX decks_fingerprint_key ON public.decks USING btree (fingerprint)
public,decks,decks_pkey,CREATE UNIQUE INDEX decks_pkey ON public.decks USING btree (id)
public,decks,decks_source_url_uidx,CREATE UNIQUE INDEX decks_source_url_uidx ON public.decks USING btree (source_url)
public,decks,decks_source_url_unique,CREATE UNIQUE INDEX decks_source_url_unique ON public.decks USING btree (url)
public,decks,decks_url_uniq,CREATE UNIQUE INDEX decks_url_uniq ON public.decks USING btree (url)
public,decks,decks_url_unique,CREATE UNIQUE INDEX decks_url_unique ON public.decks USING btree (url)
public,decks,idx_decks_archetype,CREATE INDEX idx_decks_archetype ON public.decks USING btree (archetype)
public,decks,idx_decks_fingerprint,CREATE INDEX idx_decks_fingerprint ON public.decks USING btree (fingerprint)
public,decks,idx_decks_inks,CREATE INDEX idx_decks_inks ON public.decks USING gin (inks)
public,decks,idx_decks_placement,CREATE INDEX idx_decks_placement ON public.decks USING btree (placement)
public,decks,idx_decks_scraped_at,CREATE INDEX idx_decks_scraped_at ON public.decks USING btree (scraped_at DESC)
public,decks,idx_decks_total_cards,CREATE INDEX idx_decks_total_cards ON public.decks USING btree (total_cards)
public,decks,idx_decks_tournament,CREATE INDEX idx_decks_tournament ON public.decks USING btree (tournament_id)
public,decks,idx_decks_tournament_id,CREATE INDEX idx_decks_tournament_id ON public.decks USING btree (tournament_id)
public,tournaments,idx_tournaments_date,CREATE INDEX idx_tournaments_date ON public.tournaments USING btree (date DESC)
public,tournaments,idx_tournaments_format,CREATE INDEX idx_tournaments_format ON public.tournaments USING btree (format)
public,tournaments,tournaments_id_unique,CREATE UNIQUE INDEX tournaments_id_unique ON public.tournaments USING btree (id)
public,tournaments,tournaments_pkey,CREATE UNIQUE INDEX tournaments_pkey ON public.tournaments USING btree (id)
public,tournaments,tournaments_source_url_uidx,CREATE UNIQUE INDEX tournaments_source_url_uidx ON public.tournaments USING btree (source_url)
public,tournaments,tournaments_url_uniq,CREATE UNIQUE INDEX tournaments_url_uniq ON public.tournaments USING btree (url)
public,tournaments,tournaments_url_unique,CREATE UNIQUE INDEX tournaments_url_unique ON public.tournaments USING btree (url)
