table_schema,table_name,ordinal_position,column_name,pg_type,is_nullable,column_default
public,cards,1,id,text,false,null
public,cards,2,code,text,true,null
public,cards,3,name,text,false,null
public,cards,4,full_name,text,true,null
public,cards,5,simple_name,text,true,null
public,cards,6,ink,text,true,null
public,cards,7,type,text,true,null
public,cards,8,cost,integer,true,null
public,cards,9,inkable,boolean,true,false
public,cards,10,lore,integer,true,0
public,cards,11,strength,integer,true,null
public,cards,12,willpower,integer,true,null
public,cards,13,set_code,text,true,null
public,cards,14,set_name,text,true,null
public,cards,15,rarity,text,true,null
public,cards,16,abilities,jsonb,true,null
public,cards,17,image_url,text,true,null
public,cards,18,source,text,true,'dreamborn'::text
public,cards,19,created_at,timestamp with time zone,true,now()
public,cards,20,updated_at,timestamp with time zone,true,now()
public,deck_cards,1,id,uuid,false,gen_random_uuid()
public,deck_cards,2,deck_id,uuid,false,null
public,deck_cards,3,card_name,text,false,null
public,deck_cards,4,quantity,integer,false,null
public,deck_cards,5,card_url,text,true,null
public,deck_cards,6,created_at,timestamp with time zone,true,now()
public,deck_cards,7,updated_at,timestamp with time zone,true,now()
public,deck_cards,8,card_id,text,true,null
public,decks,1,id,uuid,false,uuid_generate_v4()
public,decks,2,tournament_id,text,true,null
public,decks,3,name,text,true,null
public,decks,4,author,text,true,null
public,decks,5,placement,integer,true,null
public,decks,6,cards,jsonb,false,'[]'::jsonb
public,decks,7,inks,text[],true,null
public,decks,8,fingerprint,text,true,null
public,decks,9,url,text,true,null
public,decks,10,tournament_url,text,true,null
public,decks,11,source,text,true,'inkdecks'::text
public,decks,12,scraped_at,timestamp with time zone,true,now()
public,decks,13,created_at,timestamp with time zone,true,now()
public,decks,14,decklist_text,text,true,null
public,decks,15,total_cards,integer,true,null
public,decks,16,updated_at,timestamp with time zone,true,now()
public,decks,17,source_url,text,true,null
public,decks,18,tournament_id_uuid,uuid,true,null
public,decks,19,archetype,text,true,null
public,decks,20,record_text,text,true,null
public,decks,21,wins,integer,true,null
public,decks,22,losses,integer,true,null
public,decks,23,draws,integer,true,null
public,decks,24,win_rate,numeric,true,null
public,decks,25,record,text,true,null
public,tournaments,1,id,text,false,gen_random_uuid()
public,tournaments,2,name,text,false,null
public,tournaments,3,url,text,true,null
public,tournaments,4,format,text,true,'core'::text
public,tournaments,5,date,date,true,null
public,tournaments,6,location,text,true,null
public,tournaments,7,source,text,true,'inkdecks'::text
public,tournaments,8,scraped_at,timestamp with time zone,true,now()
public,tournaments,9,created_at,timestamp with time zone,true,now()
public,tournaments,10,player_count,integer,true,null
public,tournaments,11,source_url,text,true,null
public,tournaments,12,updated_at,timestamp with time zone,true,now()
